0,1,filename
-940.9228908330309,-379.11784090698336,0 - ABBA - Ahe's My Kind Of Girl.m4a
358.9844582766334,-541.7502642119279,"1 - ABBA - Andante, Andante.m4a"
-582.9432336544807,-411.173333621663,2 - ABBA - As Good As New.m4a
-30.661626811195166,-468.30437374250164,3 - ABBA - Bang.m4a
-30.661626811195173,-468.3043737425017,4 - ABBA - Bang-A-Boomerang.m4a
-575.6109444774919,-463.70905218683816,5 - ABBA - Burning My Bridges.m4a
128.86051099283412,-495.29758745273284,6 - ABBA - Cassandra.m4a
-557.5571628496771,-416.5630096242735,7 - ABBA - Chiquitita.m4a
-443.22184103593617,-459.1552487660531,8 - ABBA - Crazy World.m4a
331.9049842958231,-546.0842555152478,9 - ABBA - Crying Over You.m4a
-1728.8801720421714,-248.5616666563878,10 - ABBA - Dance.m4a
-1728.8801720421714,-248.5616666563878,11 - ABBA - Dancing Queen.m4a
284.1615342173879,-552.2326546294574,12 - ABBA - Disillusion.m4a
790.493884709342,-595.2497000432718,13 - ABBA - Does Your Mother Know.m4a
-68.7057722038892,-522.6604028684051,14 - ABBA - Dream World.m4a
-1002.8876342519823,-360.033703564674,15 - ABBA - Dum Dum Diddle.m4a
715.1698546920211,-585.9104092040583,16 - ABBA - Eagle.m4a
805.764842717664,-636.3375892316926,17 - ABBA - Every Good Man.m4a
125.16532487196837,-491.62493394895415,18 - ABBA - Fernando.m4a
142.81933824263635,-530.8308735488465,19 - ABBA - Fernando (In Spanish).m4a
478.3460136119131,-560.0302851978589,20 - ABBA - Free As A Bumble Bee.m4a
1904.457296109597,-754.4263596365643,22 - ABBA - Gimme Gimme Gimme.m4a
487.13988185615995,528.9198941190182,23 - ABBA - Givin' A Little Bit More.m4a
362.5836984546199,-529.5750968021041,24 - ABBA - Gonna Sing You My Lovesong.m4a
997.4658983875029,-658.6699623627106,25 - ABBA - Hamlet III.m4a
-524.9257253082637,-443.18056180794696,26 - ABBA - Happy Hawaii.m4a
1035.727219410164,-649.4729020259357,27 - ABBA - Happy New Year.m4a
-1120.1200280563662,-344.6362236912786,28 - ABBA - He Is Your Brother.m4a
1409.8516133659089,-680.0506584354063,29 - ABBA - Head Over Heels.m4a
839.2458616251288,-628.8994384947251,30 - ABBA - Here We'll Stay.m4a
-791.1735269212955,-406.74972670161327,31 - ABBA - Hey Hey Helen.m4a
-591.4611062952529,-398.1981759464746,32 - ABBA - Hole In Your Soul.m4a
-1399.7692368021944,-323.07154898547464,"33 - ABBA - Honey, Honey.m4a"
-763.0654841005062,-384.98875813175556,34 - ABBA - I Am Just A Girl.m4a
-887.0927663959257,-387.168455928665,35 - ABBA - I Am The City.m4a
98.21528569068329,-501.3100332502859,"36 - ABBA - I Do, I Do, I Do, I Do, I Do.m4a"
755.7668935995566,-606.4797098903373,37 - ABBA - I Have A Dream.m4a
481.0587054654526,-554.2074965053702,38 - ABBA - I Let The Music Speak.m4a
614.9954897113407,-596.4831228137436,39 - ABBA - I Saw It In The Mirror.m4a
720.0644453593252,-611.8827709862279,40 - ABBA - I Wonder (Departure).m4a
1034.8203268907212,-641.1493301473664,41 - ABBA - I Wonder (Departure) [Live].m4a
-1308.1930640592163,-309.8977434040526,42 - ABBA - If It Wasn't For The Nights.m4a
-532.9818631045721,-422.57477806049326,43 - ABBA - I'm A Marionette.m4a
-779.3294791632146,-412.84213384412527,44 - ABBA - I've Been Waiting For You.m4a
416.08079655656184,-541.5549200507185,45 - ABBA - Juper Jrouper.m4a
-1455.0704174091627,-310.261914809782,46 - ABBA - Just A Notion.m4a
-881.842833185271,-409.80285954118125,47 - ABBA - King Kong Song.m4a
-210.59333814456673,-481.0076260176631,48 - ABBA - Kisses Of Fire.m4a
-650.6261675659222,-425.9793878426048,49 - ABBA - Knowing Me Knowing You.m4a
241.18749213195952,-534.1211835773822,50 - ABBA - Lay All Your Love On Me.m4a
2386.652817524272,-810.5639581704041,51 - ABBA - Like An Angel Passing Through My Room.m4a
-1492.7835100648379,-286.67423133342515,52 - ABBA - Love Has It's Ways.m4a
-668.7669692404118,-410.74941239825176,53 - ABBA - Love Isn't Easy.m4a
-1110.6072767327062,-366.1538798293721,54 - ABBA - Lovelight.m4a
739.2649113550626,-594.0156800077134,55 - ABBA - Lovers.m4a
-1092.60924963111,-351.49774052960146,56 - ABBA - Mamma Mia.m4a
-129.7762300525042,-556.8882138007649,57 - ABBA - Man In The Middle.m4a
-924.0741583685189,-376.06041073113295,58 - ABBA - Me And Bobby And Bobby's Brother.m4a
-560.605319986511,-422.3506526424437,59 - ABBA - Me And I.m4a
-908.847114903243,-395.72023165288647,60 - ABBA - Merry-Go-Round.m4a
-1886.7715604461653,164.74154238880158,61 - ABBA - Midnight Special.m4a
240.27307140861305,-510.4238968807784,62 - ABBA - Money Money Money.m4a
-1127.9442198829154,-337.3360372648833,63 - ABBA - Move On.m4a
-270.99391007808543,-464.15397915254914,"64 - ABBA - My Love, My Life.m4a"
242.7674672839728,-541.5512317412449,65 - ABBA - My Mama Said.m4a
-188.58182526463895,-457.1526165761752,67 - ABBA - On And On And On.m4a
1181.0129447239617,-652.8408228257557,"68 - ABBA - One Man, One Woman.m4a"
2048.9024526258468,-769.2760297022186,69 - ABBA - One Of Us.m4a
-461.45349826912576,-443.13756402363197,70 - ABBA - Our Last Summer.m4a
-1096.8474071656067,-365.2391283511584,71 - ABBA - People Need Love.m4a
-1385.5686394170568,-319.60231755272474,72 - ABBA - Pick A Bale Of Cotton.m4a
